Annotation,num,pos_num,pos_rate
"rA:dA,6",17,11,0.647058823529
"rA:dA,7",17,13,0.764705882353
"rA:dA,4",12,7,0.583333333333
"rA:dA,5",12,8,0.666666666667
"rA:dA,2",17,11,0.647058823529
"rA:dA,3",13,7,0.538461538462
"rA:dA,1",14,10,0.714285714286
"rU:dT,2",9,8,0.888888888889
"rU:dT,3",18,11,0.611111111111
"rU:dT,1",23,19,0.826086956522
"rU:dT,6",11,7,0.636363636364
"rU:dT,7",10,6,0.6
"rA:dA,8",22,17,0.772727272727
"rA:dA,9",16,14,0.875
"rC:dT,9",13,8,0.615384615385
"rC:dT,8",7,3,0.428571428571
"rU:dT,9",10,6,0.6
"rC:dT,1",22,16,0.727272727273
"rC:dT,3",11,8,0.727272727273
"rC:dT,2",17,12,0.705882352941
"rC:dT,5",12,8,0.666666666667
"rC:dT,4",7,6,0.857142857143
"rC:dT,7",10,4,0.4
"rC:dT,6",12,9,0.75
"rG:dG,7",13,8,0.615384615385
"rG:dG,6",15,6,0.4
"rG:dG,5",19,9,0.473684210526
"rG:dG,4",10,6,0.6
"rG:dG,3",14,9,0.642857142857
"rG:dG,2",27,19,0.703703703704
"rG:dG,1",29,23,0.793103448276
"rG:dG,9",18,13,0.722222222222
"rG:dG,8",12,6,0.5
"rU:dG,20",4,2,0.5
"rC:dA,20",3,2,0.666666666667
"rU:dT,4",11,7,0.636363636364
"rG:dG,20",1,0,0.0
"rU:dT,5",5,4,0.8
"rG:dA,20",3,0,0.0
"rA:dA,20",10,6,0.6
"rC:dC,19",16,8,0.5
"rC:dC,18",14,10,0.714285714286
"rC:dC,17",5,1,0.2
"rC:dC,15",5,4,0.8
"rC:dC,14",6,4,0.666666666667
"rC:dC,13",11,8,0.727272727273
"rC:dC,12",15,10,0.666666666667
"rC:dC,11",13,9,0.692307692308
"rC:dC,10",16,7,0.4375
"rC:dA,4",14,8,0.571428571429
"rC:dA,5",23,13,0.565217391304
"rC:dA,6",27,19,0.703703703704
"rC:dA,7",14,8,0.571428571429
"rA:dC,5",17,11,0.647058823529
"rC:dA,1",22,15,0.681818181818
"rC:dA,2",19,12,0.631578947368
"rC:dA,3",12,9,0.75
"rC:dA,8",19,12,0.631578947368
"rC:dA,9",17,13,0.764705882353
"rA:dA,10",14,12,0.857142857143
"rA:dA,11",14,12,0.857142857143
"rA:dA,12",12,8,0.666666666667
"rA:dA,13",14,5,0.357142857143
"rA:dA,14",14,7,0.5
"rA:dA,15",11,8,0.727272727273
"rA:dA,16",11,5,0.454545454545
"rA:dA,17",10,7,0.7
"rA:dA,18",12,4,0.333333333333
"rA:dA,19",2,0,0.0
"rA:dG,9",15,8,0.533333333333
"rA:dG,8",18,10,0.555555555556
"rA:dG,1",16,9,0.5625
"rA:dG,3",16,7,0.4375
"rA:dG,2",12,8,0.666666666667
"rA:dG,5",12,8,0.666666666667
"rA:dG,4",19,11,0.578947368421
"rA:dG,7",15,9,0.6
"rA:dG,6",17,13,0.764705882353
"rG:dT,1",30,25,0.833333333333
"rG:dA,6",13,9,0.692307692308
"rG:dT,4",18,13,0.722222222222
"rG:dT,7",16,9,0.5625
"rG:dT,6",16,11,0.6875
"rU:dC,8",13,6,0.461538461538
"rU:dC,9",9,7,0.777777777778
"rC:dA,17",16,11,0.6875
"rU:dC,4",6,4,0.666666666667
"rU:dC,5",4,1,0.25
"rU:dC,6",9,5,0.555555555556
"rU:dC,7",10,7,0.7
"rU:dC,1",22,17,0.772727272727
"rU:dC,2",8,7,0.875
"rU:dC,3",11,8,0.727272727273
